category,lin,lout
open_qa,13,18
open_qa,11,197
open_qa,9,2
open_qa,16,54
open_qa,12,15
open_qa,9,130
open_qa,5,337
open_qa,11,3
open_qa,10,14
open_qa,9,9
open_qa,7,43
open_qa,8,16
open_qa,10,20
open_qa,5,57
open_qa,7,71
open_qa,8,26
open_qa,9,46
open_qa,9,75
creative_writing,7,75
creative_writing,14,16
open_qa,9,9
open_qa,5,91
open_qa,8,57
open_qa,38,24
open_qa,9,4
creative_writing,9,135
open_qa,19,104
open_qa,12,2
open_qa,16,297
open_qa,10,12
open_qa,14,46
open_qa,8,26
open_qa,10,27
open_qa,7,4
open_qa,16,6
open_qa,7,6
open_qa,9,15
open_qa,10,7
open_qa,6,20
open_qa,8,27
open_qa,7,20
open_qa,4,130
open_qa,6,56
open_qa,14,8
open_qa,11,111
open_qa,14,4
open_qa,14,22
open_qa,11,81
creative_writing,14,926
open_qa,12,27
open_qa,6,24
open_qa,6,27
open_qa,7,21
open_qa,12,31
open_qa,9,21
open_qa,24,24
creative_writing,5,72
open_qa,9,36
open_qa,12,146
open_qa,6,130
creative_writing,16,103
open_qa,13,55
open_qa,7,73
open_qa,10,65
open_qa,10,26
open_qa,18,322
open_qa,6,40
open_qa,16,2
open_qa,8,3
open_qa,8,5
open_qa,10,25
open_qa,12,136
creative_writing,12,285
open_qa,5,85
open_qa,8,11
creative_writing,22,58
open_qa,6,64
open_qa,14,3
open_qa,14,38
open_qa,6,5
creative_writing,24,248
open_qa,6,25
open_qa,16,52
open_qa,12,65
creative_writing,9,105
open_qa,24,21
open_qa,6,64
creative_writing,8,143
open_qa,9,14
open_qa,14,10
open_qa,9,26
creative_writing,11,117
open_qa,6,67
open_qa,12,20
open_qa,7,96
open_qa,6,130
open_qa,8,65
open_qa,6,88
open_qa,11,95
open_qa,5,72
open_qa,6,21
open_qa,10,173
open_qa,12,27
open_qa,5,10
open_qa,6,70
open_qa,10,40
open_qa,7,26
open_qa,19,65
open_qa,8,77
open_qa,8,8
creative_writing,21,165
creative_writing,14,113
open_qa,19,31
open_qa,12,3
creative_writing,9,61
open_qa,6,60
open_qa,10,97
creative_writing,12,95
open_qa,15,33
open_qa,14,2
open_qa,13,54
open_qa,17,122
open_qa,11,26
open_qa,27,8
open_qa,8,32
open_qa,6,32
open_qa,7,29
open_qa,12,167
creative_writing,54,36
open_qa,7,11
open_qa,12,101
open_qa,6,46
open_qa,13,35
open_qa,13,151
open_qa,7,150
open_qa,7,11
open_qa,11,109
open_qa,8,6
open_qa,23,9
open_qa,7,266
open_qa,8,121
open_qa,9,112
creative_writing,56,211
open_qa,10,3
open_qa,10,56
open_qa,7,77
open_qa,7,69
open_qa,13,5
open_qa,9,83
open_qa,5,523
creative_writing,13,244
open_qa,12,15
open_qa,15,12
creative_writing,9,37
open_qa,23,2
open_qa,5,121
creative_writing,20,513
open_qa,10,29
open_qa,21,3
open_qa,6,2
open_qa,8,6
creative_writing,19,191
open_qa,5,55
open_qa,11,13
open_qa,12,63
open_qa,7,44
open_qa,9,22
creative_writing,11,94
open_qa,10,93
open_qa,12,132
open_qa,18,228
open_qa,7,75
open_qa,14,7
creative_writing,6,20
open_qa,6,112
open_qa,15,16
open_qa,7,109
open_qa,11,11
open_qa,11,3
open_qa,8,37
open_qa,9,20
open_qa,11,13
open_qa,4,227
open_qa,10,2
open_qa,10,33
open_qa,10,5
open_qa,5,16
open_qa,11,10
open_qa,9,3
open_qa,9,89
creative_writing,10,178
open_qa,5,65
open_qa,8,14
open_qa,10,19
open_qa,10,7
open_qa,14,42
open_qa,7,43
open_qa,8,9
open_qa,6,180
open_qa,9,9
open_qa,9,215
open_qa,12,182
creative_writing,11,240
open_qa,12,155
open_qa,8,95
open_qa,9,70
open_qa,8,436
open_qa,6,23
open_qa,9,172
open_qa,13,27
open_qa,14,14
open_qa,7,64
creative_writing,28,266
open_qa,8,28
open_qa,17,9
open_qa,6,101
creative_writing,7,112
creative_writing,7,98
creative_writing,4,27
open_qa,14,24
open_qa,7,11
open_qa,8,15
open_qa,6,214
open_qa,6,155
open_qa,5,12
open_qa,11,15
open_qa,5,202
open_qa,7,91
open_qa,6,350
open_qa,7,103
open_qa,15,4
open_qa,11,13
open_qa,11,42
open_qa,6,78
open_qa,6,150
open_qa,12,3
open_qa,4,2
open_qa,13,12
open_qa,21,3
open_qa,13,11
open_qa,6,129
open_qa,11,7
creative_writing,12,126
open_qa,12,23
open_qa,6,32
open_qa,5,43
creative_writing,11,147
open_qa,8,10
creative_writing,36,135
open_qa,11,131
open_qa,8,255
creative_writing,12,359
open_qa,13,15
open_qa,11,22
open_qa,10,3
open_qa,6,70
open_qa,21,68
open_qa,5,53
creative_writing,24,180
open_qa,14,19
open_qa,5,30
open_qa,10,14
open_qa,7,9
open_qa,7,17
open_qa,5,56
open_qa,11,82
open_qa,14,19
open_qa,8,138
open_qa,6,12
creative_writing,6,113
open_qa,15,25
open_qa,8,31
open_qa,9,28
open_qa,16,81
creative_writing,15,286
open_qa,7,159
open_qa,6,51
creative_writing,14,194
open_qa,12,43
open_qa,15,27
creative_writing,7,70
open_qa,10,125
open_qa,12,8
open_qa,9,62
creative_writing,28,344
open_qa,7,37
open_qa,14,17
open_qa,9,67
open_qa,15,40
open_qa,10,2
open_qa,12,29
creative_writing,10,97
open_qa,6,29
open_qa,6,71
open_qa,9,11
open_qa,8,9
open_qa,15,92
open_qa,5,23
open_qa,7,339
open_qa,15,16
open_qa,7,12
open_qa,7,49
open_qa,12,58
open_qa,6,63
open_qa,5,50
open_qa,6,5
open_qa,11,137
open_qa,9,2
open_qa,9,3
open_qa,4,142
open_qa,5,27
open_qa,13,9
open_qa,11,93
open_qa,8,22
open_qa,10,64
open_qa,9,52
open_qa,5,72
open_qa,11,86
open_qa,7,66
open_qa,7,28
open_qa,12,3
open_qa,9,63
open_qa,13,12
open_qa,8,17
open_qa,11,2
open_qa,8,91
creative_writing,6,102
open_qa,7,7
creative_writing,13,104
creative_writing,23,324
open_qa,9,9
open_qa,8,97
creative_writing,70,94
open_qa,5,273
open_qa,21,76
open_qa,8,13
open_qa,12,3
open_qa,9,90
open_qa,8,5
open_qa,9,15
open_qa,9,25
open_qa,5,51
open_qa,9,29
open_qa,6,99
open_qa,8,19
open_qa,7,75
open_qa,10,23
creative_writing,35,152
open_qa,6,45
open_qa,10,12
open_qa,10,34
open_qa,14,16
open_qa,7,29
open_qa,8,77
open_qa,8,154
open_qa,5,96
creative_writing,12,110
open_qa,8,474
creative_writing,8,89
open_qa,43,62
creative_writing,9,1018
creative_writing,16,557
open_qa,7,208
open_qa,7,4
open_qa,9,1
open_qa,14,30
creative_writing,18,145
open_qa,9,4
creative_writing,30,276
open_qa,7,7
open_qa,5,65
open_qa,6,100
open_qa,8,40
open_qa,9,73
open_qa,9,17
open_qa,8,22
creative_writing,42,246
open_qa,11,19
open_qa,11,16
open_qa,8,21
open_qa,7,112
creative_writing,10,98
open_qa,8,54
open_qa,8,95
open_qa,9,13
open_qa,12,47
open_qa,5,53
open_qa,10,5
open_qa,10,31
open_qa,5,133
open_qa,12,21
open_qa,6,41
open_qa,9,107
open_qa,16,15
open_qa,13,73
open_qa,18,5
open_qa,11,65
open_qa,11,4
open_qa,7,46
open_qa,6,77
open_qa,20,6
open_qa,8,83
open_qa,12,39
open_qa,7,148
open_qa,6,102
open_qa,7,47
open_qa,12,12
open_qa,10,57
open_qa,19,13
open_qa,8,97
open_qa,10,154
open_qa,10,2
open_qa,18,6
open_qa,14,236
creative_writing,22,114
open_qa,6,124
open_qa,9,11
open_qa,18,77
creative_writing,20,82
open_qa,12,10
open_qa,7,35
creative_writing,12,83
open_qa,6,9
creative_writing,7,155
open_qa,10,99
creative_writing,8,88
open_qa,4,41
open_qa,6,50
open_qa,12,36
open_qa,6,91
creative_writing,49,365
open_qa,11,21
open_qa,15,83
open_qa,7,23
open_qa,5,100
open_qa,7,228
open_qa,19,16
open_qa,4,15
open_qa,10,49
open_qa,14,4
open_qa,12,57
open_qa,9,257
open_qa,9,195
creative_writing,8,251
open_qa,9,20
open_qa,7,30
open_qa,4,84
open_qa,7,7
open_qa,10,25
open_qa,8,27
open_qa,7,115
open_qa,7,7
open_qa,6,25
open_qa,10,10
open_qa,10,13
open_qa,8,2
open_qa,5,78
open_qa,9,16
open_qa,15,26
open_qa,9,8
open_qa,4,29
open_qa,10,25
open_qa,8,27
open_qa,8,21
open_qa,35,151
open_qa,6,71
open_qa,4,78
creative_writing,11,123
open_qa,10,2
open_qa,6,3
open_qa,29,28
creative_writing,9,17
creative_writing,14,132
creative_writing,15,255
open_qa,13,16
open_qa,7,7
open_qa,8,42
open_qa,16,4
open_qa,7,74
open_qa,21,106
open_qa,19,21
creative_writing,13,171
open_qa,12,211
open_qa,12,2
open_qa,5,102
open_qa,14,18
creative_writing,7,60
open_qa,7,12
open_qa,10,126
open_qa,19,29
open_qa,15,13
open_qa,9,9
open_qa,10,17
creative_writing,27,40
creative_writing,30,165
creative_writing,25,160
creative_writing,8,2
creative_writing,34,372
open_qa,13,14
open_qa,15,26
open_qa,5,43
creative_writing,11,111
open_qa,7,22
open_qa,6,3
open_qa,24,4
open_qa,9,40
open_qa,20,26
open_qa,7,34
creative_writing,21,261
open_qa,8,81
creative_writing,14,296
open_qa,15,5
open_qa,7,112
open_qa,12,15
open_qa,7,42
open_qa,15,104
open_qa,8,21
open_qa,13,42
creative_writing,31,130
open_qa,13,144
open_qa,20,5
open_qa,11,3
open_qa,5,86
open_qa,13,53
creative_writing,81,175
open_qa,11,221
open_qa,8,84
creative_writing,45,184
open_qa,11,16
open_qa,13,101
open_qa,12,470
open_qa,5,81
open_qa,8,93
open_qa,6,71
open_qa,9,41
open_qa,14,188
open_qa,10,6
open_qa,13,1
open_qa,30,30
open_qa,5,60
open_qa,14,5
open_qa,9,6
open_qa,13,326
open_qa,9,24
creative_writing,15,154
open_qa,11,9
open_qa,19,4
open_qa,10,467
open_qa,9,279
open_qa,9,114
open_qa,6,99
open_qa,9,69
creative_writing,30,556
open_qa,14,21
creative_writing,11,134
open_qa,11,1
open_qa,7,42
open_qa,13,15
open_qa,19,71
open_qa,5,43
open_qa,17,12
open_qa,15,28
open_qa,18,15
open_qa,7,20
open_qa,5,39
open_qa,7,77
open_qa,10,220
open_qa,5,41
creative_writing,43,145
open_qa,6,408
open_qa,19,5
open_qa,7,15
open_qa,10,10
open_qa,10,6
creative_writing,22,76
open_qa,10,98
open_qa,9,11
open_qa,12,4
open_qa,10,45
creative_writing,19,107
open_qa,7,34
open_qa,8,45
open_qa,9,39
open_qa,11,158
open_qa,10,131
creative_writing,24,337
open_qa,11,99
open_qa,8,43
open_qa,10,10
open_qa,9,2
open_qa,5,48
open_qa,6,63
open_qa,8,87
open_qa,13,339
creative_writing,81,102
open_qa,9,72
creative_writing,15,82
open_qa,8,161
open_qa,4,78
open_qa,12,128
creative_writing,13,105
open_qa,14,19
creative_writing,7,259
open_qa,5,190
open_qa,10,24
open_qa,7,20
open_qa,15,22
open_qa,6,127
open_qa,11,46
creative_writing,15,283
open_qa,11,1
open_qa,9,57
open_qa,12,93
open_qa,20,188
open_qa,10,34
creative_writing,6,160
open_qa,7,21
open_qa,16,3
creative_writing,13,82
open_qa,10,45
creative_writing,22,739
open_qa,6,227
open_qa,7,16
open_qa,13,8
open_qa,12,112
open_qa,7,7
open_qa,10,91
open_qa,13,170
open_qa,5,170
open_qa,10,62
creative_writing,8,137
open_qa,7,78
open_qa,10,9
open_qa,6,21
creative_writing,11,71
open_qa,9,88
open_qa,6,192
open_qa,12,70
creative_writing,15,130
open_qa,9,3
open_qa,6,8
open_qa,27,219
creative_writing,31,255
open_qa,14,33
open_qa,12,15
open_qa,6,70
open_qa,5,31
open_qa,5,120
open_qa,6,105
open_qa,29,114
open_qa,6,95
open_qa,16,55
open_qa,7,116
open_qa,8,18
open_qa,18,452
open_qa,16,2
open_qa,8,10
creative_writing,18,298
open_qa,9,435
open_qa,9,42
open_qa,8,57
open_qa,14,221
creative_writing,8,1024
open_qa,9,29
open_qa,10,51
open_qa,9,2
creative_writing,12,91
open_qa,8,25
open_qa,6,7
open_qa,12,10
open_qa,13,60
open_qa,12,11
open_qa,7,2
open_qa,10,31
creative_writing,11,62
open_qa,15,32
open_qa,7,21
open_qa,9,35
open_qa,5,150
open_qa,16,18
open_qa,14,8
open_qa,8,292
open_qa,12,14
open_qa,9,6
open_qa,6,91
creative_writing,48,127
open_qa,12,3
open_qa,5,9
open_qa,14,5
open_qa,16,11
open_qa,4,83
open_qa,7,18
open_qa,5,117
open_qa,13,35
open_qa,27,70
open_qa,12,3
open_qa,7,11
open_qa,10,32
open_qa,4,77
creative_writing,44,116
open_qa,13,84
open_qa,19,5
open_qa,5,1
creative_writing,30,112
open_qa,13,49
open_qa,7,51
open_qa,9,2
open_qa,10,133
open_qa,8,14
open_qa,8,5
open_qa,10,122
open_qa,12,96
open_qa,10,74
open_qa,14,144
open_qa,10,154
open_qa,7,60
open_qa,10,109
open_qa,11,8
open_qa,9,11
open_qa,7,272
open_qa,11,23
open_qa,20,25
open_qa,10,4
open_qa,5,99
open_qa,4,179
open_qa,11,10
open_qa,9,159
open_qa,9,52
creative_writing,10,81
open_qa,4,47
open_qa,8,96
open_qa,4,221
open_qa,10,10
open_qa,9,18
open_qa,10,137
open_qa,11,8
open_qa,9,70
open_qa,15,12
open_qa,6,154
open_qa,7,132
open_qa,11,13
open_qa,16,60
open_qa,14,2
open_qa,10,66
open_qa,10,27
open_qa,8,48
open_qa,8,26
open_qa,8,41
open_qa,8,19
open_qa,8,2
creative_writing,39,463
open_qa,7,357
open_qa,10,3
open_qa,7,17
open_qa,15,3
open_qa,13,38
open_qa,9,7
open_qa,8,30
creative_writing,6,135
open_qa,8,87
open_qa,11,101
creative_writing,11,257
open_qa,10,12
open_qa,15,3
open_qa,7,78
open_qa,6,21
open_qa,8,36
open_qa,8,19
open_qa,8,8
creative_writing,5,14
open_qa,5,138
open_qa,6,44
open_qa,13,154
open_qa,10,30
open_qa,8,28
open_qa,7,2
open_qa,8,8
open_qa,16,40
creative_writing,8,84
open_qa,11,113
open_qa,12,14
open_qa,4,377
creative_writing,38,162
open_qa,6,14
open_qa,23,73
open_qa,7,219
open_qa,10,20
open_qa,9,46
open_qa,19,26
open_qa,12,21
open_qa,5,82
open_qa,8,61
open_qa,9,6
open_qa,17,38
open_qa,13,15
open_qa,14,26
open_qa,14,52
open_qa,11,63
open_qa,10,6
open_qa,10,53
open_qa,16,5
open_qa,17,28
open_qa,10,120
open_qa,9,30
open_qa,8,46
open_qa,6,68
open_qa,8,7
creative_writing,11,104
open_qa,10,151
creative_writing,17,24
creative_writing,20,228
open_qa,7,82
open_qa,17,383
creative_writing,15,236
open_qa,6,73
open_qa,11,28
open_qa,5,45
open_qa,8,192
open_qa,8,60
open_qa,6,77
open_qa,7,21
open_qa,5,104
open_qa,10,102
open_qa,7,75
open_qa,11,72
open_qa,5,122
open_qa,12,6
open_qa,13,14
open_qa,17,105
open_qa,11,44
open_qa,11,202
open_qa,11,61
open_qa,11,11
creative_writing,8,32
open_qa,5,90
open_qa,7,17
open_qa,10,14
open_qa,4,90
creative_writing,7,34
creative_writing,17,43
open_qa,10,34
open_qa,7,2
open_qa,12,41
open_qa,12,154
open_qa,11,9
open_qa,8,5
creative_writing,5,72
open_qa,8,28
open_qa,10,332
open_qa,8,43
open_qa,5,81
open_qa,12,24
open_qa,9,55
open_qa,10,12
creative_writing,29,54
open_qa,17,137
open_qa,6,58
open_qa,21,81
open_qa,16,155
open_qa,17,2
open_qa,11,3
creative_writing,13,775
open_qa,16,63
creative_writing,24,93
open_qa,8,196
open_qa,6,92
open_qa,10,4
open_qa,19,123
open_qa,9,149
open_qa,8,119
open_qa,12,80
creative_writing,13,130
open_qa,28,3
open_qa,6,98
creative_writing,12,81
creative_writing,29,195
open_qa,7,67
open_qa,18,5
open_qa,6,21
open_qa,7,12
open_qa,6,31
creative_writing,5,67
open_qa,8,69
open_qa,5,179
creative_writing,45,75
open_qa,7,5
open_qa,10,2
open_qa,15,24
open_qa,9,80
open_qa,13,41
open_qa,5,34
open_qa,8,3
open_qa,8,84
open_qa,6,17
open_qa,9,11
open_qa,5,79
open_qa,6,113
open_qa,14,20
open_qa,14,1
open_qa,8,70
open_qa,12,101
open_qa,8,275
open_qa,15,3
creative_writing,16,371
creative_writing,31,50
open_qa,4,70
open_qa,10,131
open_qa,16,8
open_qa,5,91
open_qa,12,191
open_qa,11,21
open_qa,7,16
open_qa,13,85
open_qa,8,111
open_qa,7,40
open_qa,6,2
open_qa,7,4
open_qa,5,53
creative_writing,7,123
creative_writing,25,305
open_qa,11,76
open_qa,5,6
open_qa,6,11
open_qa,4,93
open_qa,6,144
open_qa,9,41
open_qa,10,26
open_qa,5,94
open_qa,9,71
open_qa,6,76
open_qa,4,10
open_qa,10,33
creative_writing,9,1537
open_qa,22,4
open_qa,4,102
open_qa,11,6
open_qa,10,41
open_qa,4,63
open_qa,5,155
open_qa,24,3
creative_writing,39,218
open_qa,8,94
open_qa,13,6
open_qa,5,79
open_qa,8,84
open_qa,17,25
open_qa,9,12
open_qa,13,93
open_qa,19,3
open_qa,6,69
creative_writing,23,351
creative_writing,13,278
open_qa,19,8
open_qa,13,2
creative_writing,17,45
open_qa,14,177
open_qa,15,186
open_qa,3,45
open_qa,9,264
open_qa,11,13
open_qa,5,24
creative_writing,7,8
creative_writing,18,89
open_qa,8,61
open_qa,11,9
open_qa,15,15
creative_writing,20,64
open_qa,9,53
open_qa,5,24
open_qa,10,49
open_qa,14,13
open_qa,11,18
open_qa,11,30
open_qa,32,96
open_qa,5,91
open_qa,9,1
open_qa,7,10
open_qa,19,47
creative_writing,9,34
open_qa,6,3
open_qa,8,22
open_qa,7,19
creative_writing,20,501
creative_writing,38,160
open_qa,7,6
open_qa,10,6
creative_writing,12,219
open_qa,13,167
creative_writing,26,177
open_qa,13,23
open_qa,18,153
open_qa,8,54
open_qa,10,10
open_qa,18,31
open_qa,14,118
open_qa,12,76
open_qa,17,140
open_qa,9,194
open_qa,8,238
open_qa,25,7
open_qa,11,31
creative_writing,19,99
open_qa,5,17
open_qa,6,89
open_qa,9,13
open_qa,9,46
open_qa,6,364
open_qa,6,25
open_qa,11,8
creative_writing,23,21
creative_writing,31,200
open_qa,15,8
open_qa,6,2
open_qa,7,253
open_qa,7,93
open_qa,9,7
open_qa,12,35
open_qa,22,120
open_qa,6,61
creative_writing,27,18
open_qa,9,75
open_qa,9,18
creative_writing,19,155
open_qa,11,79
open_qa,18,23
open_qa,8,9
open_qa,6,48
open_qa,11,104
open_qa,11,46
open_qa,12,42
open_qa,16,9
open_qa,12,83
open_qa,11,13
open_qa,19,100
open_qa,12,14
creative_writing,63,96
open_qa,8,35
open_qa,18,2
open_qa,6,85
open_qa,7,19
open_qa,8,100
open_qa,14,157
open_qa,14,11
open_qa,7,94
open_qa,5,8
open_qa,7,27
open_qa,18,13
open_qa,20,6
open_qa,8,100
open_qa,8,76
open_qa,14,16
open_qa,12,22
open_qa,6,90
open_qa,5,88
creative_writing,19,284
open_qa,10,28
open_qa,10,31
creative_writing,6,41
open_qa,4,49
open_qa,12,5
open_qa,13,295
open_qa,8,9
open_qa,15,44
open_qa,11,1
open_qa,10,25
open_qa,5,96
open_qa,8,8
open_qa,14,40
open_qa,17,34
open_qa,10,259
open_qa,8,13
open_qa,10,9
open_qa,10,28
creative_writing,11,106
open_qa,10,16
open_qa,8,2
open_qa,8,9
open_qa,14,66
open_qa,9,4
creative_writing,39,73
open_qa,18,3
open_qa,8,4
creative_writing,9,57
open_qa,10,94
open_qa,12,12
creative_writing,8,103
open_qa,13,112
open_qa,5,75
open_qa,11,231
creative_writing,10,306
creative_writing,32,516
open_qa,10,82
creative_writing,16,77
open_qa,7,124
open_qa,13,54
open_qa,10,2
open_qa,7,31
open_qa,9,4
open_qa,6,485
open_qa,6,220
open_qa,6,61
open_qa,6,5
open_qa,13,7
open_qa,12,23
open_qa,4,70
open_qa,14,26
open_qa,12,27
open_qa,8,13
open_qa,9,37
open_qa,7,129
open_qa,13,22
open_qa,13,97
open_qa,9,2
open_qa,10,55
open_qa,10,82
open_qa,6,111
open_qa,8,114
open_qa,4,182
open_qa,9,3
open_qa,12,67
open_qa,11,1
open_qa,9,6
open_qa,8,54
open_qa,5,204
open_qa,10,24
creative_writing,7,61
open_qa,10,2
open_qa,16,30
open_qa,8,42
open_qa,8,167
open_qa,8,3
open_qa,6,3
creative_writing,20,115
open_qa,6,6
open_qa,10,21
open_qa,9,12
open_qa,9,6
creative_writing,12,123
open_qa,17,148
creative_writing,29,80
open_qa,9,5
open_qa,11,119
open_qa,10,3
creative_writing,23,118
open_qa,13,57
open_qa,7,197
open_qa,7,7
open_qa,5,29
open_qa,7,100
open_qa,11,97
open_qa,10,54
open_qa,10,6
open_qa,11,119
open_qa,13,18
creative_writing,15,118
open_qa,9,2
creative_writing,14,353
open_qa,14,69
creative_writing,15,207
open_qa,10,14
open_qa,6,22
open_qa,8,37
open_qa,13,151
open_qa,8,117
open_qa,5,32
open_qa,7,150
open_qa,9,19
open_qa,10,56
open_qa,12,67
open_qa,7,159
open_qa,11,62
open_qa,6,35
open_qa,13,88
open_qa,8,34
open_qa,11,21
open_qa,12,10
open_qa,7,6
open_qa,11,63
open_qa,6,86
open_qa,7,7
creative_writing,12,122
open_qa,9,20
open_qa,8,4
open_qa,8,20
open_qa,16,1
open_qa,9,211
open_qa,7,4
open_qa,13,32
creative_writing,14,251
open_qa,8,9
creative_writing,14,47
creative_writing,16,111
open_qa,14,221
open_qa,15,565
open_qa,4,37
open_qa,11,46
creative_writing,13,98
open_qa,7,17
open_qa,9,89
open_qa,5,39
open_qa,9,25
creative_writing,58,446
open_qa,16,24
open_qa,20,94
open_qa,6,47
open_qa,12,27
open_qa,20,11
open_qa,36,4
open_qa,5,34
creative_writing,8,136
creative_writing,34,314
open_qa,20,7
open_qa,8,5
open_qa,9,4
open_qa,16,148
open_qa,9,22
open_qa,13,100
open_qa,19,71
open_qa,6,7
open_qa,8,78
open_qa,8,230
open_qa,20,4
open_qa,9,308
open_qa,13,2
open_qa,10,3
open_qa,11,18
creative_writing,9,236
open_qa,11,73
open_qa,19,4
open_qa,10,2
open_qa,6,55
open_qa,12,49
open_qa,16,20
creative_writing,12,28
open_qa,10,7
open_qa,5,138
open_qa,8,36
open_qa,5,3
open_qa,17,6
open_qa,11,2
creative_writing,6,31
creative_writing,32,511
open_qa,10,22
creative_writing,9,140
creative_writing,10,63
open_qa,7,24
creative_writing,13,237
open_qa,21,4
open_qa,10,93
open_qa,4,43
open_qa,14,44
open_qa,6,8
open_qa,8,43
open_qa,12,41
open_qa,12,15
creative_writing,33,560
